profil	temps_virtuel	jalon	cycle	age	GR	dynasties	legitimite	ruines
afk_assume	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
afk_assume	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
afk_assume	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
afk_assume	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
afk_assume	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
afk_assume	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
afk_assume	5h 48m	Dynastie 1 fondee	2	Campement	0	1	1.0	0.0
afk_assume	1j 15h 37m	Age : Hameau protégé	703	Hameau protégé	0	9	132	1.24K
afk_assume	1j 15h 50m	Dynastie 10 fondee	709	Campement	0	10	196	0.0
afk_assume	1j 17h 53m	Age : Village	755	Village	0	11	260	4.33K
afk_assume	1j 18h 25m	Grand Reset 1	0	Campement	1	12	30	0.0
afk_assume	2j 1h 21m	Acte I (Fondation) complete	6	Clans	1	12	29	7.38K
afk_assume	2j 2h 17m	Acte II (Domination) complete	9	Campement	1	12	29	7.44K
afk_assume	2j 11h 18m	Age : Les Entrepôts	192	Les Entrepôts	1	27	168	15.6K
afk_assume	2j 13h 26m	Age : Bourg agricole	239	Bourg agricole	1	30	272	50.9K
afk_assume	2j 20h 44m	Age : Bourg des artisans	397	Bourg des artisans	1	35	255	215.2K
afk_assume	2j 23h 26m	Age : Bourg marchand	452	Bourg marchand	1	38	536	643.0K
afk_assume	3j 9h 12m	Age : Cité marchande	196	Cité marchande	2	68	867	1.58M
afk_assume	3j 9h 44m	Grand Reset 3	0	Campement	3	70	24	0.0
afk_assume	3j 14h 55m	Age : Cité commerciale	94	Cité commerciale	3	100	1.13K	2.39M
afk_assume	3j 20h 4m	Age : Cité portuaire	52	Cité portuaire	4	137	2.12K	5.38M
afk_assume	3j 20h 37m	Age : Cité fortifiée	63	Cité fortifiée	4	142	4.08K	13.3M
afk_assume	3j 20h 49m	Grand Reset 5	0	Campement	5	144	710	0.0
afk_assume	4j 3h 7m	Age : Cité administrative	36	Cité administrative	5	176	6.43K	4.23M
afk_assume	4j 7h 57m	Age : Principauté	48	Principauté	6	221	18.4K	64.0M
afk_assume	4j 7h 59m	Age : Principauté marchande	48	Principauté marchande	6	221	18.4K	64.0M
afk_assume	5j 10h 43m	Age : Royaume	1	Royaume	9	306	16.1K	0.0
afk_assume	5j 20h 9m	Grand Reset 10	0	Campement	10	309	18.5K	0.0
afk_assume	6j 15h 17m	Age : Royaume diplomate	1	Royaume diplomate	10	310	109.2K	0.0
afk_assume	6j 23h 53m	Age : Royaume savant	1	Royaume savant	10	310	109.2K	0.0
afk_assume	7j 12h 25m	Arbre de Ruines complet	43	Principauté marchande	10	351	963.6K	0.0
