profil	temps_virtuel	jalon	cycle	age	GR	dynasties	legitimite	ruines
afk_assume	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
afk_assume	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
afk_assume	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
afk_assume	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
afk_assume	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
afk_assume	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
afk_assume	5h 48m	Dynastie 1 fondee	2	Campement	0	1	1.0	0.0
afk_assume	2j 4h 49m	Age : Hameau protégé	787	Hameau protégé	0	9	90	2.14K
afk_assume	2j 4h 52m	Dynastie 10 fondee	789	Campement	0	10	160	0.0
afk_assume	2j 7h 31m	Age : Village	849	Village	0	11	230	4.41K
afk_assume	2j 8h 14m	Grand Reset 1	0	Campement	1	12	7.1	0.0
afk_assume	2j 18h 11m	Acte I (Fondation) complete	7	Abris	1	12	6.3	6.85K
afk_assume	2j 18h 17m	Acte II (Domination) complete	10	Campement	1	12	6.3	6.87K
afk_assume	3j 9h 8m	Age : Les Entrepôts	313	Les Entrepôts	1	27	247	12.8K
afk_assume	3j 14h 40m	Age : Bourg agricole	435	Bourg agricole	1	31	139	59.3K
afk_assume	3j 18h 29m	Age : Bourg des artisans	516	Bourg des artisans	1	34	346	172.3K
afk_assume	4j 8h 42m	Age : Bourg marchand	235	Bourg marchand	2	62	423	442.3K
afk_assume	4j 11h 29m	Age : Cité marchande	292	Cité marchande	2	66	920	1.58M
afk_assume	4j 12h 14m	Grand Reset 3	0	Campement	3	68	57	0.0
afk_assume	4j 19h 45m	Age : Cité commerciale	143	Cité commerciale	3	100	1.63K	4.00M
afk_assume	4j 20h 34m	Age : Cité portuaire	160	Cité portuaire	3	102	2.25K	9.25M
afk_assume	5j 4h 17m	Grand Reset 5	0	Campement	5	141	282	0.0
afk_assume	5j 10h 43m	Age : Cité fortifiée	54	Cité fortifiée	5	176	6.40K	4.93M
afk_assume	5j 18h 43m	Age : Cité administrative	33	Cité administrative	6	210	7.88K	2.38M
afk_assume	6j 2h 44m	Age : Principauté	8	Principauté	7	225	13.9K	0.0
afk_assume	6j 4h 34m	Age : Principauté marchande	9	Principauté marchande	7	226	20.4K	0.0
afk_assume	6j 12h 54m	Age : Royaume	10	Royaume	8	243	28.3K	0.0
afk_assume	6j 22h 1m	Age : Royaume diplomate	9	Royaume diplomate	9	273	110.1K	0.0
afk_assume	6j 22h 30m	Grand Reset 10	0	Campement	10	274	35.9K	0.0
afk_assume	8j 1h 11m	Age : Royaume savant	1	Royaume savant	10	275	150.5K	0.0
afk_assume	8j 18h 6m	Age : Royaume conquérant	8	Royaume conquérant	10	282	1.36M	0.0
